date,actual,predicted
2024-01-11,2014.300048828125,2022.258513906812
2024-01-12,2046.699951171875,2022.3544567436613
2024-01-16,2026.0,2022.853009672316
2024-01-17,2002.5999755859373,2022.9504028748095
2024-01-18,2018.5999755859373,2023.447510662628
2024-01-19,2026.5,2023.5463437999713
2024-01-22,2019.800048828125,2024.0420168401722
2024-01-23,2023.699951171875,2024.1422795565873
2024-01-24,2013.9000244140625,2024.6365281676426
2024-01-25,2016.9000244140625,2024.738210181829
2024-01-26,2016.800048828125,2025.2310446080025
2024-01-29,2025.199951171875,2025.3341357126003
2024-01-30,2031.5,2025.8255661244802
2024-01-31,2048.39990234375,2025.93005618554
2024-02-01,2053.0,2026.420092680569
2024-02-02,2036.0999755859373,2026.525971637023
2024-02-05,2025.699951171875,2027.0146242400253
2024-02-06,2034.5,2027.121882103163
2024-02-07,2035.199951171875,2027.6091607668657
2024-02-08,2032.199951171875,2027.7177876198136
2024-02-09,2023.300048828125,2028.2037022253653
2024-02-12,2018.199951171875,2028.313688222571
2024-02-13,1992.9000244140625,2028.7982485800565
2024-02-14,1990.300048828125,2028.9095839467748
2024-02-15,2002.0999755859373,2029.3927997957267
2024-02-16,2011.5,2029.5054748275109
2024-02-20,2027.5,2029.987355837416
2024-02-21,2022.300048828125,2030.1013608996125
2024-02-22,2019.699951171875,2030.5819166704175
2024-02-23,2038.5999755859373,2030.697242197663
2024-02-26,2028.5,2031.176482260272
2024-02-27,2034.0,2031.293118755996
2024-02-28,2033.0,2031.7710525727693
2024-02-29,2045.699951171875,2031.8889906086993
2024-03-01,2086.89990234375,2032.3656275739447
2024-03-04,2117.699951171875,2032.4848577896146
2024-03-05,2133.5,2032.9602072300784
2024-03-06,2150.300048828125,2033.0807203323411
2024-03-07,2158.0,2033.5547915076925
2024-03-08,2178.60009765625,2033.6765782702357
2024-03-11,2182.5,2034.14938037355
2024-03-12,2160.39990234375,2034.2724316364156
2024-03-13,2175.39990234375,2034.7439737946531
2024-03-14,2163.0,2034.8682804637597
2024-03-15,2157.300048828125,2035.338571738241
2024-03-18,2160.699951171875,2035.4641247849104
2024-03-19,2156.300048828125,2035.9331741717888
2024-03-20,2157.89990234375,2036.0599646322762
2024-03-21,2182.39990234375,2036.5277810630057
2024-03-22,2158.10009765625,2036.6558000380314
2024-03-25,2174.800048828125,2037.1223923798327
