date,actual,predicted
2024-01-11,2014.300048828125,1829.3379
2024-01-12,2046.699951171875,1824.3995
2024-01-16,2026.0,1817.2194
2024-01-17,2002.5999755859373,1809.0916
2024-01-18,2018.5999755859373,1800.8015
2024-01-19,2026.5,1792.6672
2024-01-22,2019.800048828125,1784.9973
2024-01-23,2023.699951171875,1777.4952
2024-01-24,2013.9000244140625,1770.2518
2024-01-25,2016.9000244140625,1764.0613
2024-01-26,2016.800048828125,1758.8646
2024-01-29,2025.199951171875,1754.7994
2024-01-30,2031.5,1751.9025
2024-01-31,2048.39990234375,1749.5996
2024-02-01,2053.0,1747.654
2024-02-02,2036.0999755859373,1745.9817
2024-02-05,2025.699951171875,1744.1306
2024-02-06,2034.5,1741.9164
2024-02-07,2035.199951171875,1739.7861
2024-02-08,2032.199951171875,1738.1532
2024-02-09,2023.300048828125,1737.1644
2024-02-12,2018.199951171875,1737.1069
2024-02-13,1992.9000244140625,1738.4109
2024-02-14,1990.300048828125,1740.2633
2024-02-15,2002.0999755859373,1742.4619
2024-02-16,2011.5,1744.8965
2024-02-20,2027.5,1747.4335
2024-02-21,2022.300048828125,1750.092
2024-02-22,2019.699951171875,1752.4032
2024-02-23,2038.5999755859373,1754.3562
2024-02-26,2028.5,1755.5593
2024-02-27,2034.0,1757.0696
2024-02-28,2033.0,1759.1449
2024-02-29,2045.699951171875,1762.4171
2024-03-01,2086.89990234375,1765.5143
2024-03-04,2117.699951171875,1768.8511
2024-03-05,2133.5,1773.1575
2024-03-06,2150.300048828125,1776.7212
2024-03-07,2158.0,1780.4218
2024-03-08,2178.60009765625,1784.2413
2024-03-11,2182.5,1787.9532
2024-03-12,2160.39990234375,1791.9978
2024-03-13,2175.39990234375,1795.469
2024-03-14,2163.0,1798.9823
2024-03-15,2157.300048828125,1802.0333
2024-03-18,2160.699951171875,1804.3501
2024-03-19,2156.300048828125,1805.9788
2024-03-20,2157.89990234375,1806.2285
2024-03-21,2182.39990234375,1806.8202
2024-03-22,2158.10009765625,1806.7892
2024-03-25,2174.800048828125,1806.1754
2024-03-26,2175.60009765625,1806.438
2024-03-27,2190.60009765625,1806.906
2024-03-28,2217.39990234375,1807.3287
2024-04-01,2236.5,1808.0283
2024-04-02,2261.0,1808.6168
2024-04-03,2294.39990234375,1808.9158
2024-04-04,2288.800048828125,1809.3832
2024-04-05,2325.699951171875,1810.5576
2024-04-08,2331.699951171875,1811.8479
2024-04-09,2343.5,1813.448
2024-04-10,2329.60009765625,1814.6663
2024-04-11,2354.800048828125,1815.8147
2024-04-12,2356.199951171875,1816.6755
2024-04-15,2365.800048828125,1817.3572
2024-04-16,2390.800048828125,1818.2045
2024-04-17,2371.699951171875,1818.7335
2024-04-18,2382.300048828125,1818.7552
2024-04-19,2398.39990234375,1818.6953
2024-04-22,2332.199951171875,1818.9258
2024-04-23,2327.699951171875,1819.0073
2024-04-24,2324.5,1818.8608
2024-04-25,2329.800048828125,1818.384
2024-04-26,2334.800048828125,1817.7217
2024-04-29,2345.39990234375,1816.8184
2024-04-30,2291.39990234375,1815.9111
2024-05-01,2299.89990234375,1814.3955
2024-05-02,2299.199951171875,1812.403
2024-05-03,2299.0,1810.4071
2024-05-06,2321.60009765625,1808.8604
2024-05-07,2315.199951171875,1807.8615
2024-05-08,2313.60009765625,1806.8901
2024-05-09,2332.10009765625,1805.8025
2024-05-10,2367.300048828125,1805.2593
2024-05-13,2336.10009765625,1804.5801
2024-05-14,2353.39990234375,1804.5586
2024-05-15,2388.699951171875,1804.6531
2024-05-16,2380.0,1805.6667
2024-05-17,2412.199951171875,1806.8619
2024-05-20,2433.89990234375,1808.674
2024-05-21,2421.699951171875,1811.3489
2024-05-22,2389.199951171875,1813.8306
2024-05-23,2335.0,1815.7906
2024-05-24,2332.5,1817.0615
2024-05-28,2355.199951171875,1817.9963
2024-05-29,2340.300048828125,1819.5668
2024-05-30,2342.89990234375,1821.364
2024-05-31,2322.89990234375,1823.0017
2024-06-03,2346.60009765625,1823.7571
2024-06-04,2325.5,1824.4406
2024-06-05,2354.10009765625,1824.9775
2024-06-06,2370.300048828125,1825.4916
2024-06-07,2305.199951171875,1826.1942
2024-06-10,2307.699951171875,1826.2235
2024-06-11,2307.5,1826.2269
2024-06-12,2336.0,1825.8859
2024-06-13,2300.199951171875,1825.7393
2024-06-14,2331.39990234375,1825.1189
2024-06-17,2312.39990234375,1824.4645
2024-06-18,2330.39990234375,1824.0471
2024-06-20,2353.800048828125,1823.644
2024-06-21,2316.39990234375,1823.8241
2024-06-24,2330.0,1823.6018
2024-06-25,2316.60009765625,1823.0485
2024-06-26,2299.199951171875,1822.1804
2024-06-27,2324.5,1820.9501
2024-06-28,2327.699951171875,1819.8291
2024-07-01,2327.60009765625,1818.791
2024-07-02,2323.0,1818.2188
2024-07-03,2359.800048828125,1817.8378
2024-07-05,2388.5,1817.9512
2024-07-08,2355.199951171875,1818.3564
2024-07-09,2360.10009765625,1818.4436
2024-07-10,2372.199951171875,1818.5264
2024-07-11,2415.0,1818.7673
2024-07-12,2414.0,1819.3983
2024-07-15,2422.89990234375,1820.0458
2024-07-16,2462.39990234375,1821.309
2024-07-17,2454.800048828125,1822.842
2024-07-18,2451.800048828125,1824.4011
2024-07-19,2395.5,1825.9698
2024-07-22,2392.0,1827.39
2024-07-23,2404.60009765625,1828.4591
2024-07-24,2413.300048828125,1829.0417
2024-07-25,2351.89990234375,1829.9163
2024-07-26,2380.0,1830.7239
2024-07-29,2377.300048828125,1831.3043
2024-07-30,2405.0,1831.6093
2024-07-31,2426.5,1832.041
2024-08-01,2435.0,1832.3265
2024-08-02,2425.699951171875,1832.8823
2024-08-05,2401.699951171875,1834.1814
2024-08-06,2389.10009765625,1837.5735
2024-08-07,2390.5,1839.599
2024-08-08,2422.199951171875,1840.9861
2024-08-09,2432.10009765625,1842.0433
2024-08-12,2462.39990234375,1842.2482
2024-08-13,2466.699951171875,1842.1677
2024-08-14,2439.39990234375,1841.7014
2024-08-15,2453.10009765625,1840.3931
2024-08-16,2498.60009765625,1838.7793
2024-08-19,2501.800048828125,1837.3276
2024-08-20,2511.300048828125,1836.2126
2024-08-21,2508.39990234375,1835.6053
2024-08-22,2478.89990234375,1835.4854
2024-08-23,2508.39990234375,1835.5789
2024-08-26,2517.699951171875,1836.1693
2024-08-27,2516.0,1836.9972
2024-08-28,2501.0,1837.513
2024-08-29,2525.699951171875,1837.7817
2024-08-30,2493.800048828125,1837.7443
2024-09-03,2489.89990234375,1837.1625
2024-09-04,2493.39990234375,1837.1671
2024-09-05,2511.39990234375,1837.5873
2024-09-06,2493.5,1837.8203
2024-09-09,2501.800048828125,1838.033
2024-09-10,2512.300048828125,1837.9685
2024-09-11,2512.10009765625,1837.8342
2024-09-12,2551.199951171875,1837.4517
2024-09-13,2581.300048828125,1837.2991
2024-09-16,2580.39990234375,1837.6218
2024-09-17,2564.300048828125,1838.1974
2024-09-18,2570.699951171875,1839.0251
2024-09-19,2588.0,1840.0654
2024-09-20,2619.89990234375,1841.1179
2024-09-23,2626.5,1842.0868
2024-09-24,2651.199951171875,1842.7941
2024-09-25,2659.199951171875,1843.7461
2024-09-26,2669.89990234375,1844.4468
2024-09-27,2644.300048828125,1845.2222
2024-09-30,2636.10009765625,1846.1421
2024-10-01,2667.300048828125,1846.7836
2024-10-02,2647.10009765625,1847.5504
2024-10-03,2657.10009765625,1848.2448
2024-10-04,2645.800048828125,1849.2483
2024-10-07,2644.800048828125,1850.1827
2024-10-08,2615.0,1851.5214
2024-10-09,2606.0,1852.4751
2024-10-10,2620.60009765625,1852.9902
2024-10-11,2657.60009765625,1853.4304
2024-10-14,2647.800048828125,1854.0027
2024-10-15,2661.39990234375,1854.5227
2024-10-16,2674.0,1855.187
2024-10-17,2691.0,1855.7427
2024-10-18,2713.699951171875,1856.1123
2024-10-21,2723.10009765625,1856.5548
2024-10-22,2744.199951171875,1857.0746
2024-10-23,2714.39990234375,1857.7792
2024-10-24,2734.89990234375,1858.3052
2024-10-25,2740.89990234375,1858.8264
2024-10-28,2742.89990234375,1859.3761
2024-10-29,2768.39990234375,1860.008
2024-10-30,2788.5,1860.7278
2024-10-31,2738.300048828125,1861.5367
2024-11-01,2738.60009765625,1862.3457
2024-11-04,2736.10009765625,1862.8512
2024-11-05,2740.300048828125,1863.105
2024-11-06,2667.60009765625,1863.3245
2024-11-07,2698.39990234375,1863.0548
2024-11-08,2687.5,1862.659
2024-11-11,2611.199951171875,1862.169
2024-11-12,2600.0,1862.265
2024-11-13,2580.800048828125,1862.45
2024-11-14,2568.199951171875,1862.7543
2024-11-15,2565.699951171875,1862.8982
2024-11-18,2610.60009765625,1863.3505
2024-11-19,2627.10009765625,1863.8772
2024-11-20,2648.199951171875,1864.6165
2024-11-21,2672.10009765625,1865.5017
2024-11-22,2709.89990234375,1866.5482
2024-11-25,2616.800048828125,1867.4607
2024-11-26,2620.300048828125,1867.9468
2024-11-27,2639.89990234375,1868.0852
2024-11-29,2657.0,1868.3284
2024-12-02,2634.89990234375,1868.6372
2024-12-03,2644.699951171875,1868.8073
2024-12-04,2653.800048828125,1868.9517
2024-12-05,2626.60009765625,1869.2622
2024-12-06,2638.60009765625,1869.566
2024-12-09,2664.89990234375,1869.8928
2024-12-10,2697.60009765625,1870.2489
2024-12-11,2733.800048828125,1870.5774
2024-12-12,2687.5,1871.0381
2024-12-13,2656.0,1871.4487
2024-12-16,2651.39990234375,1871.8392
2024-12-17,2644.39990234375,1872.4583
2024-12-18,2636.5,1873.1709
2024-12-19,2592.199951171875,1874.2966
2024-12-20,2628.699951171875,1875.1865
2024-12-23,2612.300048828125,1875.5953
2024-12-24,2620.0,1875.5159
2024-12-26,2638.800048828125,1875.2128
2024-12-27,2617.199951171875,1874.7675
2024-12-30,2606.10009765625,1874.2953
2024-12-31,2629.199951171875,1873.8428
2025-01-02,2658.89990234375,1873.431
2025-01-03,2645.0,1873.249
2025-01-06,2638.39990234375,1873.1909
2025-01-07,2656.699951171875,1873.4171
2025-01-08,2664.5,1873.6377
2025-01-09,2683.800048828125,1873.7102
2025-01-10,2708.5,1873.6346
2025-01-13,2673.5,1873.7557
2025-01-14,2677.5,1873.911
2025-01-15,2712.5,1874.1707
2025-01-16,2746.39990234375,1874.4852
2025-01-17,2744.300048828125,1874.8169
2025-01-21,2755.0,1875.2332
2025-01-22,2767.60009765625,1875.7214
2025-01-23,2763.10009765625,1876.0764
2025-01-24,2777.300048828125,1876.364
2025-01-27,2737.5,1876.6469
2025-01-28,2766.800048828125,1876.9713
2025-01-29,2769.10009765625,1877.1292
2025-01-30,2823.0,1877.3138
2025-01-31,2812.5,1877.5254
2025-02-03,2833.89990234375,1877.6626
2025-02-04,2853.300048828125,1877.8445
2025-02-05,2871.60009765625,1877.9187
2025-02-06,2856.0,1877.8165
2025-02-07,2867.300048828125,1877.6011
2025-02-10,2914.300048828125,1877.3862
2025-02-11,2912.5,1877.1931
2025-02-12,2909.0,1877.0177
2025-02-13,2925.89990234375,1876.9333
2025-02-14,2883.60009765625,1876.8142
2025-02-18,2931.60009765625,1876.7604
2025-02-19,2919.39990234375,1876.6908
