model,horizon,mae,rmse,mase,smape,directional_accuracy
chronos2,1,39.9766845703125,46.27523286427863,4.643591806077873,0.9473701275830863,0.9090909090909091
sarimax,1,40.3677318611437,53.09019936849209,4.689014882428761,0.9416799612354455,1.0
xgboost_diff,1,48.06063181797705,71.87991567686296,5.5826029222697775,1.1406045715137691,0.9090909090909091
naive,1,50.324991861979164,85.43798725118995,5.845625327938377,1.169390223847318,1.0
moving_average,1,89.2396158854167,107.7717457332694,10.36585083423336,2.1371434812149213,1.0
tft,1,101.1260786783854,138.77095283486787,11.746552656356661,2.420994265808502,0.8181818181818182
xgboost,1,1565.5181884765625,1625.787375369212,181.8466816448859,45.145412868023676,0.2727272727272727
sarimax,2,41.43220897422899,63.12000604971459,4.812661884505343,0.9862887943078812,1.0
xgboost_diff,2,55.398520013548854,74.17596821424769,6.434953682847281,1.3123723971038743,0.8181818181818182
chronos2,2,57.653279622395836,63.61945976015119,6.6968609259529925,1.3817406274231336,1.0
naive,2,62.983378092447914,102.11708773639549,7.315991848068092,1.465914329258448,0.9090909090909091
moving_average,2,99.32126871744792,134.3115012016118,11.536910440244505,2.2828403104841684,0.8181818181818182
tft,2,109.39875755208334,170.7408709144315,12.707486366721053,2.5596753227270237,0.7272727272727273
xgboost,2,1584.6049194335938,1644.0163861141905,184.06374862854224,45.719189699428085,0.36363636363636365
chronos2,3,63.277486165364586,97.18003396606449,7.350154707048934,1.476374143930739,1.0
sarimax,3,73.08539397669847,105.00835076063919,8.489416775352092,1.67483477224714,1.0
xgboost_diff,3,102.87407494505847,143.0633693041154,11.949595535680517,2.347029297444702,0.9090909090909091
naive,3,102.95003255208333,151.35777637953674,11.958418581547903,2.3309462953677045,0.9090909090909091
moving_average,3,154.67122395833334,213.92495331564177,17.9662229604284,3.4983514102096716,0.9090909090909091
tft,3,167.7937127929688,241.1440014035452,19.490498479592226,3.85026642445443,0.7272727272727273
xgboost,3,1569.7545166015625,1626.5329970530604,182.33876293628234,45.447545801756526,0.36363636363636365
chronos2,4,66.11710611979167,101.04489741590683,7.679997866742698,1.5050362732694946,1.0
sarimax,4,71.53810568761848,103.53825158476168,8.30968763327742,1.6298353619779302,1.0
xgboost_diff,4,112.33251849232856,164.44871475928767,13.04826470813536,2.583280233007451,1.0
naive,4,121.17502848307292,172.98958765587298,14.075388577448798,2.7491517091932844,0.9090909090909091
moving_average,4,181.66290283203125,240.20046591177078,21.101508945181315,4.12473233864145,0.8181818181818182
