number,value,datetime_start,datetime_complete,duration,params_d,params_p,params_q,state
0,77.1418281451573,2026-07-22 16:58:25.968751,2026-07-22 16:59:11.567988,0 days 00:00:45.599237,2,1,3,COMPLETE
1,75.52249466464423,2026-07-22 16:59:11.582459,2026-07-22 16:59:15.822228,0 days 00:00:04.239769,0,2,0,COMPLETE
2,76.91793245373395,2026-07-22 16:59:15.836312,2026-07-22 16:59:38.664963,0 days 00:00:22.828651,2,0,3,COMPLETE
