number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_layers,params_learning_rate,params_nhead,params_patch_length,params_stride,state
0,114.89497273763021,2026-07-22 16:59:43.329893,2026-07-22 17:01:35.322622,0 days 00:01:51.992729,96,45,1,0.005399484409787433,4,6,3,COMPLETE
1,121.04516194661458,2026-07-22 17:01:35.345836,2026-07-22 17:03:29.681163,0 days 00:01:54.335327,96,56,1,0.0004059611610484307,8,6,3,COMPLETE
2,163.2178741455078,2026-07-22 17:03:29.704180,2026-07-22 17:06:44.596394,0 days 00:03:14.892214,32,22,2,0.0037183641805732083,8,7,4,COMPLETE
