step,origin,lead_time,date,actual,predicted
0,2022-12-13,1,2022-12-14,89.92182688923423,90.04158
0,2022-12-13,2,2022-12-15,90.44565783986201,90.55826
0,2022-12-13,3,2022-12-16,88.24514163066125,90.92355
0,2022-12-13,4,2022-12-19,89.40340424391165,91.34525
0,2022-12-13,5,2022-12-20,89.1932594757313,91.70264
0,2022-12-13,6,2022-12-21,88.10650745630535,92.04373
0,2022-12-13,7,2022-12-22,88.82851375763865,92.41496
0,2022-12-13,8,2022-12-23,89.49894571858906,92.72696
0,2022-12-13,9,2022-12-26,88.55204285485492,93.00374
0,2022-12-13,10,2022-12-27,91.1089972931938,93.272736
0,2022-12-13,11,2022-12-28,89.97202617140132,93.551544
0,2022-12-13,12,2022-12-29,88.29963396194616,93.8505
0,2022-12-13,13,2022-12-30,87.19387660325128,94.16111
0,2022-12-13,14,2023-01-02,88.65077307646345,94.453964
0,2022-12-13,15,2023-01-03,88.49860532102369,94.75936
0,2022-12-13,16,2023-01-04,88.1377707332922,95.04588
0,2022-12-13,17,2023-01-05,88.0743401927226,95.36306
0,2022-12-13,18,2023-01-06,87.46396172720276,95.64778
0,2022-12-13,19,2023-01-09,86.74747642233046,95.962105
0,2022-12-13,20,2023-01-10,86.06764724411087,96.30563
1,2023-01-10,1,2023-01-11,86.72469380439664,87.36372
1,2023-01-10,2,2023-01-12,87.68207269401421,87.772575
1,2023-01-10,3,2023-01-13,86.55189276274517,88.28432
1,2023-01-10,4,2023-01-16,86.70421067128362,88.83997
1,2023-01-10,5,2023-01-17,87.39390238531517,89.391136
1,2023-01-10,6,2023-01-18,86.20227568208611,89.97645
1,2023-01-10,7,2023-01-19,85.57874973950318,90.59313
1,2023-01-10,8,2023-01-20,84.40894396516586,91.18544
1,2023-01-10,9,2023-01-23,82.9757208340817,91.77036
1,2023-01-10,10,2023-01-24,82.92529155118096,92.34463
1,2023-01-10,11,2023-01-25,82.02715011560338,92.93107
1,2023-01-10,12,2023-01-26,82.48695816623164,93.42059
1,2023-01-10,13,2023-01-27,82.27733144420522,93.899925
1,2023-01-10,14,2023-01-30,82.50132065725398,94.28458
1,2023-01-10,15,2023-01-31,82.01243775684728,94.67198
1,2023-01-10,16,2023-02-01,81.17336993842304,95.06004
1,2023-01-10,17,2023-02-02,80.87166598924439,95.416405
1,2023-01-10,18,2023-02-03,80.64920613379171,95.791725
1,2023-01-10,19,2023-02-06,79.71999754905485,96.13779
1,2023-01-10,20,2023-02-07,79.91790881530609,96.43535
2,2023-02-07,1,2023-02-08,80.43105997516072,80.67961
2,2023-02-07,2,2023-02-09,80.35152296477206,80.93874
2,2023-02-07,3,2023-02-10,81.82381204349556,81.21555
2,2023-02-07,4,2023-02-13,80.94729200891739,81.482666
2,2023-02-07,5,2023-02-14,81.22133851243684,81.70401
2,2023-02-07,6,2023-02-15,80.56430115385803,81.95682
2,2023-02-07,7,2023-02-16,80.549496083197,82.12637
2,2023-02-07,8,2023-02-17,79.46960360952495,82.33622
2,2023-02-07,9,2023-02-20,80.33490002071345,82.52702
2,2023-02-07,10,2023-02-21,80.26183456551614,82.6722
2,2023-02-07,11,2023-02-22,81.20635589553726,82.919365
2,2023-02-07,12,2023-02-23,79.69451951947605,83.069855
2,2023-02-07,13,2023-02-24,78.95786010537117,83.289635
2,2023-02-07,14,2023-02-27,77.82535442840762,83.54553
2,2023-02-07,15,2023-02-28,77.05727673938262,83.75789
2,2023-02-07,16,2023-03-01,76.13292548799751,83.977036
2,2023-02-07,17,2023-03-02,75.78561650224196,84.14895
2,2023-02-07,18,2023-03-03,75.54714161180702,84.38714
2,2023-02-07,19,2023-03-06,75.29102225931815,84.68747
2,2023-02-07,20,2023-03-07,74.52699488110835,84.94944
3,2023-03-07,1,2023-03-08,74.51306868756866,77.075165
3,2023-03-07,2,2023-03-09,75.19498821850759,77.31742
3,2023-03-07,3,2023-03-10,74.10715623379964,77.62393
3,2023-03-07,4,2023-03-13,73.9310917803664,77.85923
3,2023-03-07,5,2023-03-14,73.68911344357987,78.04959
3,2023-03-07,6,2023-03-15,73.99902594219209,78.237656
3,2023-03-07,7,2023-03-16,73.7865865566298,78.37974
3,2023-03-07,8,2023-03-17,73.63257366169188,78.51014
3,2023-03-07,9,2023-03-20,72.51370829574452,78.67841
3,2023-03-07,10,2023-03-21,72.41854041612677,78.76769
3,2023-03-07,11,2023-03-22,71.39097419162324,78.87935
3,2023-03-07,12,2023-03-23,71.81245083735587,78.98473
3,2023-03-07,13,2023-03-24,71.62669395334416,79.08146
3,2023-03-07,14,2023-03-27,71.59591037582926,79.175995
3,2023-03-07,15,2023-03-28,70.64615053640324,79.24214
3,2023-03-07,16,2023-03-29,71.40355755998148,79.34982
3,2023-03-07,17,2023-03-30,72.06185568077447,79.45312
3,2023-03-07,18,2023-03-31,72.90178361166465,79.55337
3,2023-03-07,19,2023-04-03,75.12004746314618,79.647285
3,2023-03-07,20,2023-04-04,75.07090242097223,79.74422
4,2023-04-04,1,2023-04-05,76.29016773235695,74.55054
4,2023-04-04,2,2023-04-06,76.19465088903983,74.68004
4,2023-04-04,3,2023-04-07,76.62942687285313,74.79474
4,2023-04-04,4,2023-04-10,77.04772901277555,74.96103
4,2023-04-04,5,2023-04-11,77.37742912858275,75.152466
4,2023-04-04,6,2023-04-12,78.11277456271772,75.36666
4,2023-04-04,7,2023-04-13,77.8977156581672,75.569145
4,2023-04-04,8,2023-04-14,78.03909148830857,75.79791
4,2023-04-04,9,2023-04-17,78.68615970042003,76.045975
4,2023-04-04,10,2023-04-18,80.55680784322877,76.306526
4,2023-04-04,11,2023-04-19,79.84797417336021,76.58448
4,2023-04-04,12,2023-04-20,78.18575957047447,76.8654
4,2023-04-04,13,2023-04-21,77.85562739511457,77.164665
4,2023-04-04,14,2023-04-24,78.1091596390616,77.50746
4,2023-04-04,15,2023-04-25,78.45698211408585,77.867905
4,2023-04-04,16,2023-04-26,78.73085482910895,78.29943
4,2023-04-04,17,2023-04-27,80.10365538572096,78.76634
4,2023-04-04,18,2023-04-28,81.2775961900056,79.285774
4,2023-04-04,19,2023-05-01,81.43360524965344,79.811844
4,2023-04-04,20,2023-05-02,81.17620795909352,80.43893
5,2023-05-02,1,2023-05-03,81.04869151340135,81.007515
5,2023-05-02,2,2023-05-04,80.91667628230663,80.77583
5,2023-05-02,3,2023-05-05,80.92060161106664,80.535416
5,2023-05-02,4,2023-05-08,79.58213804033971,80.26296
5,2023-05-02,5,2023-05-09,79.35936113022639,79.97488
5,2023-05-02,6,2023-05-10,79.17622624967439,79.6651
5,2023-05-02,7,2023-05-11,79.23196807498172,79.36089
5,2023-05-02,8,2023-05-12,79.22455591569752,79.03458
5,2023-05-02,9,2023-05-15,80.1450994615354,78.70367
5,2023-05-02,10,2023-05-16,79.86271984928197,78.36765
5,2023-05-02,11,2023-05-17,79.67410945167082,77.988075
5,2023-05-02,12,2023-05-18,80.46579428218968,77.65614
5,2023-05-02,13,2023-05-19,80.47938004820304,77.297966
5,2023-05-02,14,2023-05-22,80.943267802806,76.96132
5,2023-05-02,15,2023-05-23,81.85795049021046,76.64647
5,2023-05-02,16,2023-05-24,82.52256769562942,76.36481
5,2023-05-02,17,2023-05-25,83.01207208293917,76.106705
5,2023-05-02,18,2023-05-26,83.05106846307184,75.87002
5,2023-05-02,19,2023-05-29,83.96390803022578,75.68886
5,2023-05-02,20,2023-05-30,84.36533371841769,75.51681
