feature,importance
price_lag_1,0.17953944206237793
price_lag_2,0.3137870132923126
price_lag_5,0.1433180421590805
price_lag_10,0.018457746133208275
price_lag_20,0.02393992803990841
return_lag_1,0.00015239026106428355
rolling_mean_5,0.1878737360239029
rolling_std_5,8.336488826898858e-05
momentum_5,0.00015088421059772372
rolling_mean_20,0.09834875911474228
rolling_std_20,8.314195292769e-05
momentum_20,0.0
day_of_week,4.0447535866405815e-05
month,0.00041867041727527976
exog_dollar_index,0.00011034282215405256
exog_dollar_index_lag_1,0.00020398810738697648
exog_silver,0.0029173993971198797
exog_silver_lag_1,0.0001539585937280208
exog_oil,0.0
exog_oil_lag_1,0.00013389311789069325
exog_sp500,0.006685398984700441
exog_sp500_lag_1,0.02281934581696987
exog_vix,0.00013018923345953226
exog_vix_lag_1,0.00012320141831878573
exog_bitcoin,0.00032431469298899174
exog_bitcoin_lag_1,0.00020437735656742007
