train,validation
246.33457245128062,1132.4996954421576
184.95606798245296,991.8175102745805
139.07506247132636,886.7895754205626
104.87279520437417,808.6501016070624
79.38504246022922,747.7776147669892
60.40576010464709,702.4241962836591
46.35211631709353,668.2698800689625
36.13435054320242,653.9219326156912
28.72686101054625,640.4988851724322
23.378559904158326,625.5427568318175
19.650302887625745,619.9630240818907
17.104340839447413,611.4218955544504
15.326193853728752,605.4293893748605
14.117000714862085,599.1441887479527
13.280100422098808,596.0245387096553
12.70388702833033,591.7975807500577
12.325547937278362,589.350898659161
11.983490412697638,588.5061894303221
11.693342844158687,587.6426459605412
11.470735150598742,587.0674213084216
11.305198987783575,586.9015980323749
10.91021442215086,585.8831098935128
10.676193415723247,585.3082066118243
10.567859123041584,585.4620833844092
10.413202984747427,585.3150008185995
10.27702645023287,585.1298687677072
10.041156411959271,585.2663234711371
9.768306818434118,586.1908205513434
9.67204976896446,584.3190413774678
9.47471449866248,584.2119279687612
9.38413615892809,584.242618617731
9.289093849270676,585.8537952927486
9.219370798014511,585.6522497166206
9.130960008287984,585.9624752674423
8.923178831008515,585.8933505032317
8.761438870028412,585.8662065496237
8.57025457391014,585.9280108599322
8.442706150421746,585.8795593449601
8.31180617347707,585.8274879846648
8.248584034467642,584.9129068753426
8.136650543156401,585.8491587601584
8.047691263875455,585.8665692083497
7.92074863792236,586.3371387523551
7.888693719605412,586.372090920045
7.692566033648202,586.2709203850319
7.624738628042635,586.4290126933677
7.552427956836551,586.5137445975201
7.497384904010626,586.5165568048794
7.441994061784617,586.4838334601523
7.371322427506658,586.2047235997842
7.290229838946985,586.4423246266308
7.121509268822142,586.4770759448919
7.086074951944219,586.4751010855055
7.015334020326902,586.4269642510125
6.8917869832881875,586.4217417458611
6.854461419828012,586.5151939990998
6.794711864461611,586.5378921242003
6.748260114916845,586.4954008848189
6.6694519381481845,586.406200540203
6.626134613214514,586.3402654853902
6.5717807587629675,585.678227459721
6.439459071424159,585.682040484728
6.365081926632228,584.9916415438444
6.295914103426732,584.9093954443001
6.254162867711431,584.9774440841315
6.209858246129605,584.9423158780916
6.1500506842400435,584.3727370974875
6.088406758704988,584.5296444548682
5.985736805306357,584.5033573138186
5.924427460552578,584.5466301066448
5.820368970381897,584.5468308379208
5.775948456530815,584.3181901813156
5.734748647419162,584.5189464299586
5.682359714550705,584.4876385067338
5.619598689544325,584.5136000327435
5.573471496198165,584.5507190021636
5.539679328831391,584.9588456428752
5.498441278746037,585.0096053005586
5.433643648750885,584.9807845655515
5.403141834669882,585.1809282396479
5.354297699999827,585.2092109419914
5.327436251550451,585.56147449803
5.259305127403252,585.6436794271636
5.193281632249653,585.6283134619912
5.124348844418247,585.6345277346131
5.045752660745066,585.5420733516739
5.0023266810424145,585.4694047882937
4.946345590875875,585.611765365293
4.916175388778669,585.6224914144124
4.874737437955684,585.6335118639848
4.841444321063089,585.8048087388195
4.800369075240506,585.8056017063368
