train,validation
0.46908164134316416,0.33204367756843567
0.046027728188109684,0.16978871822357178
0.02608294292431639,0.13991819322109222
0.020349008818378762,0.1371106058359146
0.014682153086451924,0.12159035354852676
0.012124059584868304,0.13919073343276978
0.014077450024223951,0.18178682029247284
0.010192651794045821,0.17552560567855835
0.011095878935750874,0.2256678193807602
0.018515250283102927,0.32031553983688354
0.02401504253397103,0.3684580326080322
0.021541951158806014,0.28357645869255066
0.015120217623189092,0.26232221722602844
0.014926956547424198,0.19191356003284454
