train,validation
308.3255169725455,1248.2123563402672
292.1209950769346,1211.1875797861253
276.8167862705092,1176.1534478767749
262.29947985459074,1143.1196563020283
248.5590731019899,1113.1140139577033
235.50123798532778,1082.3963964071684
223.18646686619402,1053.2083182086265
211.48212598624954,1027.4650405033851
200.44736341960953,1001.4672674588577
189.96538184035663,976.7182487144054
180.07920453765857,953.2248925816091
170.66706768452522,932.6026151724499
161.794288175001,911.709825563184
153.41785122543803,892.0983776911852
145.45486125544883,873.4463987745229
137.88913432121933,857.0348836216663
130.7666774078168,839.5949355047825
123.99769205302773,823.0780888678183
117.59002144671528,808.2337082733243
111.52179919230635,793.5171244997911
105.79582600472484,781.0625765948715
100.3681867267253,768.4561816026837
95.25032753014384,756.0460322263118
90.38238901090814,744.2039319620874
85.78245584249701,733.1159933919615
81.44516291776374,723.0099693621047
77.35012387467522,713.2881709032237
73.45293645710362,705.0119849777167
69.77413968113153,696.4425988922363
66.31652802012852,688.8001098772386
63.02091641857009,680.7392201668474
59.933055199929804,673.0214902286658
57.025488078605704,665.7359327340525
54.24981334793412,659.7676806488216
51.64683287238107,653.063972069889
49.18625424576571,646.9182148431643
46.86136030233921,641.0916413880014
44.6900164771303,635.1534935961192
42.61769684072244,630.7287773232971
40.689673887363135,626.0113493947545
38.889360473139526,621.9409113168296
37.20766025906418,616.8897140454897
35.60587144638038,612.653012025094
34.07785246155597,608.4405597163325
32.671520060353956,604.1403772386179
31.329915568812254,600.6445247301705
30.092088507896282,597.9078755657869
28.918597819537972,594.3242001788952
27.812270530308997,591.0179947748818
26.786280761446303,588.6973838221904
25.82769796796453,585.7294760017742
24.94995874854338,582.5001373240798
24.114662264101312,579.5757065753793
23.34827200118252,577.3278797619882
22.63152454172706,574.8500795516516
21.96620463660934,573.2738647805464
21.34235012261021,570.2630165845812
20.767817069819785,567.4444554890775
20.23338307023406,566.121726149648
19.740980666107745,564.7757647501633
19.276025567039255,562.7482780135286
18.8546892639318,560.9913875162149
18.462939452026564,559.8240254186943
18.10598234536234,557.6818146969317
17.772620962888887,555.5440256107296
17.451235559615785,554.624488210502
17.15200448608743,553.0437233824014
16.881197459737475,552.5862925671202
16.635710284118137,550.8281876653026
16.392456199718392,550.0936558049102
16.1758407347466,549.2406101190093
15.973948829190922,548.1465283866007
15.790825867208667,547.3758603634639
15.624536826310395,547.023603805982
15.46367832609754,546.662637203357
15.319022538289563,545.9411631547555
15.184194928492461,545.3166946747795
15.047595555499585,544.4687311106176
14.914093044089983,544.0655383260882
14.799237567359867,543.8047386432625
14.694239761849362,543.5666704324499
14.581438758507609,542.7440393207086
14.489928880139676,541.8666008930763
14.39397058557549,541.5446184280105
14.306353570422422,541.0618525974367
14.220735592865825,540.6363044045297
14.14381153048452,539.9278138295906
14.070079050259707,539.1406801990817
14.005057156243307,537.6561078236509
13.94761367133776,537.3464864774572
13.898145190714574,537.0894208413522
13.847508474283229,536.9051686743637
13.797089678835812,536.2398752294562
13.73315936493395,535.993921064499
13.678271877988253,535.1485912430453
13.609039372123307,535.0132479978937
13.544670130098778,534.8420507967702
13.494218364175742,534.6451117254082
13.436663701261564,534.5040092072752
13.380570158793732,534.2473985822118
13.33462553189944,533.9550741042419
13.28142080521131,533.8366856638161
13.239796721415527,533.7502137403092
13.20225481789758,533.684690685568
13.167681084497588,533.5888487458401
13.136007585277065,533.5015142212808
13.101528640687658,533.3142859894125
13.067630883045762,533.0834374280886
13.039309559492551,533.0501501479371
13.010129846139304,532.9692776015096
12.979271704886171,532.8101651598587
12.953245937449234,532.723501417828
12.928879958029357,532.6642005525766
12.895565305412985,532.4947911521108
12.867637600484926,532.5908219368407
12.845933423589303,532.5751563567117
12.82322425698081,532.4772832178094
313.7436146520219,1312.5216619905534
297.23551358972304,1275.5133812563038
281.655188634246,1239.5467266303438
266.88469583495527,1205.6108551384968
