model,horizon,mae,rmse,mase,smape,directional_accuracy
chronos_t5_base,1,56.008326212565066,88.38118412762684,6.5057872474483345,1.3034887179345425,0.9090909090909091
chronos_t5_base,10,211.9824025472004,255.15706349664833,24.62334628499649,4.921022552539871,0.7272727272727273
chronos_t5_base,20,266.85860799153664,340.127830534099,30.997629212380676,6.145200589724688,0.7272727272727273
chronos_t5_base,complete,188.7773299662272,247.71740136652298,21.927903027141376,4.321802810359672,0.4393305439330544
