number,value,datetime_start,datetime_complete,duration,params_attention_heads,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_lstm_layers,state
0,236.16571553548178,2026-07-22 17:11:36.818955,2026-07-22 17:13:32.088166,0 days 00:01:55.269211,2,128,0.04679835610086079,45,0.00013066739238053285,1,COMPLETE
1,106.2465810139974,2026-07-22 17:13:32.115179,2026-07-22 17:19:40.577039,0 days 00:06:08.461860,2,32,0.06370173320348284,63,0.0002310201887845295,2,COMPLETE
2,135.567333984375,2026-07-22 17:19:40.609965,2026-07-22 17:24:56.461485,0 days 00:05:15.851520,2,64,0.04184815819561255,30,0.0003839629299804173,2,COMPLETE
