number,value,datetime_start,datetime_complete,duration,params_d,params_p,params_q,state
0,58.195087657440155,2026-07-22 17:08:48.090984,2026-07-22 17:09:25.715613,0 days 00:00:37.624629,2,1,2,COMPLETE
1,67.65109718194896,2026-07-22 17:09:25.777983,2026-07-22 17:09:30.639887,0 days 00:00:04.861904,0,2,0,COMPLETE
2,58.32850864557757,2026-07-22 17:09:30.652131,2026-07-22 17:09:52.758003,0 days 00:00:22.105872,2,0,2,COMPLETE
