number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,95.76594543457031,2026-07-22 17:10:34.632394,2026-07-22 17:10:49.903930,0 days 00:00:15.271536,0.5780093202212182,0.2536999076681772,5,466,0.7993292420985183,COMPLETE
1,99.16666361490886,2026-07-22 17:10:49.939537,2026-07-22 17:11:04.331267,0 days 00:00:14.391730,0.8540362888980227,0.012184186502221764,4,533,0.8005575058716043,COMPLETE
2,99.93831685384114,2026-07-22 17:11:04.363968,2026-07-22 17:11:16.921779,0 days 00:00:12.557811,0.5909124836035503,0.2708160864249968,3,517,0.6061695553391381,COMPLETE
