date,actual,predicted
2024-01-11,2014.300048828125,1960.979
2024-01-12,2046.699951171875,1949.8499
2024-01-16,2026.0,1942.2588
2024-01-17,2002.5999755859373,1934.756
2024-01-18,2018.5999755859373,1926.7773
2024-01-19,2026.5,1922.2986
2024-01-22,2019.800048828125,1922.2582
2024-01-23,2023.699951171875,1921.3899
2024-01-24,2013.9000244140625,1923.9907
2024-01-25,2016.9000244140625,1924.3342
2024-01-26,2016.800048828125,1922.553
2024-01-29,2025.199951171875,1920.3987
2024-01-30,2031.5,1920.7993
2024-01-31,2048.39990234375,1919.8589
2024-02-01,2053.0,1917.5327
2024-02-02,2036.0999755859373,1919.3071
2024-02-05,2025.699951171875,1923.9662
2024-02-06,2034.5,1927.69
2024-02-07,2035.199951171875,1931.3159
2024-02-08,2032.199951171875,1934.6796
2024-02-09,2023.300048828125,1935.466
2024-02-12,2018.199951171875,1935.669
2024-02-13,1992.9000244140625,1933.8585
2024-02-14,1990.300048828125,1928.0382
2024-02-15,2002.0999755859373,1927.6877
2024-02-16,2011.5,1926.7152
2024-02-20,2027.5,1923.7688
2024-02-21,2022.300048828125,1919.2976
2024-02-22,2019.699951171875,1916.0587
2024-02-23,2038.5999755859373,1916.78
2024-02-26,2028.5,1921.0381
2024-02-27,2034.0,1921.4268
2024-02-28,2033.0,1920.9928
2024-02-29,2045.699951171875,1919.7898
2024-03-01,2086.89990234375,1920.7732
2024-03-04,2117.699951171875,1921.3201
2024-03-05,2133.5,1922.4615
2024-03-06,2150.300048828125,1921.375
2024-03-07,2158.0,1919.917
2024-03-08,2178.60009765625,1919.6335
2024-03-11,2182.5,1918.6296
2024-03-12,2160.39990234375,1916.8405
2024-03-13,2175.39990234375,1918.5171
2024-03-14,2163.0,1918.2122
2024-03-15,2157.300048828125,1915.4263
2024-03-18,2160.699951171875,1913.7041
2024-03-19,2156.300048828125,1910.8995
2024-03-20,2157.89990234375,1909.4697
2024-03-21,2182.39990234375,1911.8809
2024-03-22,2158.10009765625,1915.2253
2024-03-25,2174.800048828125,1918.3477
2024-03-26,2175.60009765625,1918.1758
2024-03-27,2190.60009765625,1918.0735
2024-03-28,2217.39990234375,1920.2034
2024-04-01,2236.5,1919.874
2024-04-02,2261.0,1918.9856
2024-04-03,2294.39990234375,1916.4014
2024-04-04,2288.800048828125,1915.2429
2024-04-05,2325.699951171875,1908.6229
2024-04-08,2331.699951171875,1903.7571
2024-04-09,2343.5,1901.6617
2024-04-10,2329.60009765625,1901.9268
2024-04-11,2354.800048828125,1898.0159
2024-04-12,2356.199951171875,1898.5273
2024-04-15,2365.800048828125,1893.3942
2024-04-16,2390.800048828125,1886.5271
2024-04-17,2371.699951171875,1879.7256
2024-04-18,2382.300048828125,1878.5338
2024-04-19,2398.39990234375,1876.2389
2024-04-22,2332.199951171875,1872.9326
2024-04-23,2327.699951171875,1870.9119
2024-04-24,2324.5,1872.1272
2024-04-25,2329.800048828125,1873.8282
2024-04-26,2334.800048828125,1874.4929
2024-04-29,2345.39990234375,1875.8777
2024-04-30,2291.39990234375,1880.3447
2024-05-01,2299.89990234375,1880.2957
2024-05-02,2299.199951171875,1884.8755
2024-05-03,2299.0,1890.1604
2024-05-06,2321.60009765625,1898.0508
2024-05-07,2315.199951171875,1907.116
2024-05-08,2313.60009765625,1914.2671
2024-05-09,2332.10009765625,1919.3826
2024-05-10,2367.300048828125,1925.3783
2024-05-13,2336.10009765625,1931.5496
2024-05-14,2353.39990234375,1933.6428
2024-05-15,2388.699951171875,1937.7573
2024-05-16,2380.0,1943.2488
2024-05-17,2412.199951171875,1946.4316
2024-05-20,2433.89990234375,1950.4495
2024-05-21,2421.699951171875,1954.3538
2024-05-22,2389.199951171875,1956.4795
2024-05-23,2335.0,1957.919
2024-05-24,2332.5,1956.9266
2024-05-28,2355.199951171875,1956.8911
2024-05-29,2340.300048828125,1957.3936
2024-05-30,2342.89990234375,1955.9675
2024-05-31,2322.89990234375,1952.9746
2024-06-03,2346.60009765625,1951.5701
2024-06-04,2325.5,1954.887
2024-06-05,2354.10009765625,1955.7532
2024-06-06,2370.300048828125,1958.5278
2024-06-07,2305.199951171875,1962.0349
2024-06-10,2307.699951171875,1960.9604
2024-06-11,2307.5,1959.3201
2024-06-12,2336.0,1957.4076
2024-06-13,2300.199951171875,1958.7899
2024-06-14,2331.39990234375,1957.6792
2024-06-17,2312.39990234375,1957.7537
2024-06-18,2330.39990234375,1955.9951
2024-06-20,2353.800048828125,1954.4839
2024-06-21,2316.39990234375,1954.0603
2024-06-24,2330.0,1951.9453
2024-06-25,2316.60009765625,1949.3606
2024-06-26,2299.199951171875,1947.4462
2024-06-27,2324.5,1946.7844
2024-06-28,2327.699951171875,1945.8585
2024-07-01,2327.60009765625,1945.8462
2024-07-02,2323.0,1943.6179
2024-07-03,2359.800048828125,1943.9098
2024-07-05,2388.5,1946.0005
2024-07-08,2355.199951171875,1950.6252
2024-07-09,2360.10009765625,1951.8914
2024-07-10,2372.199951171875,1953.8376
2024-07-11,2415.0,1955.104
2024-07-12,2414.0,1956.4954
2024-07-15,2422.89990234375,1956.9084
2024-07-16,2462.39990234375,1955.5964
2024-07-17,2454.800048828125,1957.6425
2024-07-18,2451.800048828125,1952.4496
2024-07-19,2395.5,1946.5189
2024-07-22,2392.0,1941.3132
2024-07-23,2404.60009765625,1940.4698
2024-07-24,2413.300048828125,1943.6296
2024-07-25,2351.89990234375,1940.093
2024-07-26,2380.0,1931.5188
2024-07-29,2377.300048828125,1929.905
2024-07-30,2405.0,1930.2437
2024-07-31,2426.5,1931.873
2024-08-01,2435.0,1933.2438
2024-08-02,2425.699951171875,1931.2272
2024-08-05,2401.699951171875,1925.239
2024-08-06,2389.10009765625,1908.1052
2024-08-07,2390.5,1891.9924
2024-08-08,2422.199951171875,1876.4539
2024-08-09,2432.10009765625,1872.0134
2024-08-12,2462.39990234375,1873.6206
2024-08-13,2466.699951171875,1873.1067
2024-08-14,2439.39990234375,1879.1218
2024-08-15,2453.10009765625,1887.7893
2024-08-16,2498.60009765625,1899.7235
2024-08-19,2501.800048828125,1912.5049
2024-08-20,2511.300048828125,1926.5355
2024-08-21,2508.39990234375,1936.3887
2024-08-22,2478.89990234375,1944.6641
2024-08-23,2508.39990234375,1946.4341
2024-08-26,2517.699951171875,1950.094
2024-08-27,2516.0,1950.6262
2024-08-28,2501.0,1953.7217
2024-08-29,2525.699951171875,1952.6819
2024-08-30,2493.800048828125,1953.0625
2024-09-03,2489.89990234375,1955.2928
2024-09-04,2493.39990234375,1951.1604
2024-09-05,2511.39990234375,1947.8733
2024-09-06,2493.5,1948.0978
2024-09-09,2501.800048828125,1942.7576
2024-09-10,2512.300048828125,1943.0112
2024-09-11,2512.10009765625,1947.0134
2024-09-12,2551.199951171875,1952.0771
2024-09-13,2581.300048828125,1959.2637
2024-09-16,2580.39990234375,1967.5417
2024-09-17,2564.300048828125,1971.7776
2024-09-18,2570.699951171875,1972.0784
2024-09-19,2588.0,1970.5076
2024-09-20,2619.89990234375,1973.0055
2024-09-23,2626.5,1975.1193
2024-09-24,2651.199951171875,1977.1018
2024-09-25,2659.199951171875,1981.7424
2024-09-26,2669.89990234375,1984.6936
2024-09-27,2644.300048828125,1988.8715
