step,origin,lead_time,date,actual,predicted
0,2022-12-13,1,2022-12-14,89.92182688923423,83.90586470946275
0,2022-12-13,2,2022-12-15,90.44565783986201,83.90586470946275
0,2022-12-13,3,2022-12-16,88.24514163066125,83.90586470946275
0,2022-12-13,4,2022-12-19,89.40340424391165,83.90586470946275
0,2022-12-13,5,2022-12-20,89.1932594757313,83.90586470946275
0,2022-12-13,6,2022-12-21,88.10650745630535,83.90586470946275
0,2022-12-13,7,2022-12-22,88.82851375763865,83.90586470946275
0,2022-12-13,8,2022-12-23,89.49894571858906,83.90586470946275
0,2022-12-13,9,2022-12-26,88.55204285485492,83.90586470946275
0,2022-12-13,10,2022-12-27,91.1089972931938,83.90586470946275
0,2022-12-13,11,2022-12-28,89.97202617140132,83.90586470946275
0,2022-12-13,12,2022-12-29,88.29963396194616,83.90586470946275
0,2022-12-13,13,2022-12-30,87.19387660325128,83.90586470946275
0,2022-12-13,14,2023-01-02,88.65077307646345,83.90586470946275
0,2022-12-13,15,2023-01-03,88.49860532102369,83.90586470946275
0,2022-12-13,16,2023-01-04,88.1377707332922,83.90586470946275
0,2022-12-13,17,2023-01-05,88.0743401927226,83.90586470946275
0,2022-12-13,18,2023-01-06,87.46396172720276,83.90586470946275
0,2022-12-13,19,2023-01-09,86.74747642233046,83.90586470946275
0,2022-12-13,20,2023-01-10,86.06764724411087,83.90586470946275
1,2023-01-10,1,2023-01-11,86.72469380439664,88.62052043068635
1,2023-01-10,2,2023-01-12,87.68207269401421,88.62052043068635
1,2023-01-10,3,2023-01-13,86.55189276274517,88.62052043068635
1,2023-01-10,4,2023-01-16,86.70421067128362,88.62052043068635
1,2023-01-10,5,2023-01-17,87.39390238531517,88.62052043068635
1,2023-01-10,6,2023-01-18,86.20227568208611,88.62052043068635
1,2023-01-10,7,2023-01-19,85.57874973950318,88.62052043068635
1,2023-01-10,8,2023-01-20,84.40894396516586,88.62052043068635
1,2023-01-10,9,2023-01-23,82.9757208340817,88.62052043068635
1,2023-01-10,10,2023-01-24,82.92529155118096,88.62052043068635
1,2023-01-10,11,2023-01-25,82.02715011560338,88.62052043068635
1,2023-01-10,12,2023-01-26,82.48695816623164,88.62052043068635
1,2023-01-10,13,2023-01-27,82.27733144420522,88.62052043068635
1,2023-01-10,14,2023-01-30,82.50132065725398,88.62052043068635
1,2023-01-10,15,2023-01-31,82.01243775684728,88.62052043068635
1,2023-01-10,16,2023-02-01,81.17336993842304,88.62052043068635
1,2023-01-10,17,2023-02-02,80.87166598924439,88.62052043068635
1,2023-01-10,18,2023-02-03,80.64920613379171,88.62052043068635
1,2023-01-10,19,2023-02-06,79.71999754905485,88.62052043068635
1,2023-01-10,20,2023-02-07,79.91790881530609,88.62052043068635
2,2023-02-07,1,2023-02-08,80.43105997516072,83.53925503278671
2,2023-02-07,2,2023-02-09,80.35152296477206,83.53925503278671
2,2023-02-07,3,2023-02-10,81.82381204349556,83.53925503278671
2,2023-02-07,4,2023-02-13,80.94729200891739,83.53925503278671
2,2023-02-07,5,2023-02-14,81.22133851243684,83.53925503278671
2,2023-02-07,6,2023-02-15,80.56430115385803,83.53925503278671
2,2023-02-07,7,2023-02-16,80.549496083197,83.53925503278671
2,2023-02-07,8,2023-02-17,79.46960360952495,83.53925503278671
2,2023-02-07,9,2023-02-20,80.33490002071345,83.53925503278671
2,2023-02-07,10,2023-02-21,80.26183456551614,83.53925503278671
2,2023-02-07,11,2023-02-22,81.20635589553726,83.53925503278671
2,2023-02-07,12,2023-02-23,79.69451951947605,83.53925503278671
2,2023-02-07,13,2023-02-24,78.95786010537117,83.53925503278671
2,2023-02-07,14,2023-02-27,77.82535442840762,83.53925503278671
2,2023-02-07,15,2023-02-28,77.05727673938262,83.53925503278671
2,2023-02-07,16,2023-03-01,76.13292548799751,83.53925503278671
2,2023-02-07,17,2023-03-02,75.78561650224196,83.53925503278671
2,2023-02-07,18,2023-03-03,75.54714161180702,83.53925503278671
2,2023-02-07,19,2023-03-06,75.29102225931815,83.53925503278671
2,2023-02-07,20,2023-03-07,74.52699488110835,83.53925503278671
3,2023-03-07,1,2023-03-08,74.51306868756866,78.899011418412
3,2023-03-07,2,2023-03-09,75.19498821850759,78.899011418412
3,2023-03-07,3,2023-03-10,74.10715623379964,78.899011418412
3,2023-03-07,4,2023-03-13,73.9310917803664,78.899011418412
3,2023-03-07,5,2023-03-14,73.68911344357987,78.899011418412
3,2023-03-07,6,2023-03-15,73.99902594219209,78.899011418412
3,2023-03-07,7,2023-03-16,73.7865865566298,78.899011418412
3,2023-03-07,8,2023-03-17,73.63257366169188,78.899011418412
3,2023-03-07,9,2023-03-20,72.51370829574452,78.899011418412
3,2023-03-07,10,2023-03-21,72.41854041612677,78.899011418412
3,2023-03-07,11,2023-03-22,71.39097419162324,78.899011418412
