model,horizon,mae,rmse,mase,smape,directional_accuracy
chronos2,1,39.9766845703125,46.27523286427863,4.643591806077873,0.9473701275830863,0.9090909090909091
sarimax,1,40.3677318611437,53.09019936849209,4.689014882428761,0.9416799612354455,1.0
xgboost_diff,1,48.06063181797705,71.87991567686296,5.5826029222697775,1.1406045715137691,0.9090909090909091
naive,1,50.324991861979164,85.43798725118995,5.845625327938377,1.169390223847318,1.0
sarima,1,51.16498300035388,87.31260145660245,5.943196600025095,1.1833175770776323,1.0
chronos_t5_large,1,60.99723307291671,94.87658657149558,7.085286204578422,1.408908329908603,0.9090909090909091
moving_average,1,89.2396158854167,107.7717457332694,10.36585083423336,2.1371434812149213,1.0
tft,1,101.1260786783854,138.77095283486787,11.746552656356661,2.420994265808502,0.8181818181818182
patchtst,1,126.11870445963537,159.94371503595826,14.64963362811809,3.1873340706683515,0.9090909090909091
xgboost,1,1565.5181884765625,1625.787375369212,181.8466816448859,45.145412868023676,0.2727272727272727
sarimax,2,41.43220897422899,63.12000604971459,4.812661884505343,0.9862887943078812,1.0
xgboost_diff,2,55.398520013548854,74.17596821424769,6.434953682847281,1.3123723971038743,0.8181818181818182
chronos2,2,57.653279622395836,63.61945976015119,6.6968609259529925,1.3817406274231336,1.0
chronos_t5_large,2,62.64654541015633,101.04884405974057,7.276866205200999,1.4533037731731897,0.8181818181818182
naive,2,62.983378092447914,102.11708773639549,7.315991848068092,1.465914329258448,0.9090909090909091
sarima,2,64.68897214134161,103.80088475070004,7.514109391708005,1.4926404678736873,0.8181818181818182
moving_average,2,99.32126871744792,134.3115012016118,11.536910440244505,2.2828403104841684,0.8181818181818182
tft,2,109.39875755208334,170.7408709144315,12.707486366721053,2.5596753227270237,0.7272727272727273
patchtst,2,156.84841608072907,190.3613431799731,18.219120158094512,3.8263538183546864,0.5454545454545454
xgboost,2,1584.6049194335938,1644.0163861141905,184.06374862854224,45.719189699428085,0.36363636363636365
chronos2,3,63.277486165364586,97.18003396606449,7.350154707048934,1.476374143930739,1.0
sarimax,3,73.08539397669847,105.00835076063919,8.489416775352092,1.67483477224714,1.0
xgboost_diff,3,102.87407494505847,143.0633693041154,11.949595535680517,2.347029297444702,0.9090909090909091
naive,3,102.95003255208333,151.35777637953674,11.958418581547903,2.3309462953677045,0.9090909090909091
sarima,3,106.40998154501244,160.61728593839828,12.360317612588222,2.3965053853610874,0.9090909090909091
